year,category,prizeShare,fullName,gender,born,bornCountry,bornCity,age_received,organizationName,organizationCountry,organizationCity,,
2013,physics,2,Peter Higgs,male,1929,United Kingdom,Newcastle upon Tyne,84,University of Edinburgh,United Kingdom,Edinburgh,,
2013,medicine,3,Randy W. Schekman,male,1948,USA,St. Paul MN,65,University of California,USA,Berkeley CA,,
2013,medicine,3,James E. Rothman,male,1950,USA,Haverhill MA,63,Yale University,USA,New Haven CT,,
2012,physics,2,Serge Haroche,male,1944,Morocco,Casablanca,68,College de France,France,Paris,,
2012,economics,2,Lloyd S. Shapley,male,1923,USA,Cambridge MA,89,University of California,USA,Los Angeles CA,,
2012,economics,2,Alvin E. Roth,male,1951,USA,New York NY,61,Harvard University,USA,Cambridge MA,,
2012,peace,1,European Union ,organisation,1993,,,19,,,,,
2012,literature,1,Mo Yan,male,1956,China,Gaomi,56,,,,,
2012,chemistry,2,Brian Kobilka,male,1955,USA,Little Falls MN,57,Stanford University School of Medicine,USA,Stanford CA,,
2012,chemistry,2,Robert J. Lefkowitz,male,1943,USA,New York NY,69,Howard Hughes Medical Institute,USA,,,
2012,physics,2,David J. Wineland,male,1944,USA,Milwaukee WI,68,National Institute of Standards and Technology,USA,Boulder CO,,
2012,medicine,2,Shinya Yamanaka,male,1962,Japan,Osaka,50,Kyoto University,Japan,Kyoto,,
2012,medicine,2,Sir John B. Gurdon,male,1933,United Kingdom,Dippenhall,79,Gurdon Institute,United Kingdom,Cambridge,,
2011,economics,2,Christopher A. Sims,male,1942,USA,Washington D.C.,69,Princeton University,USA,Princeton NJ,,
2011,economics,2,Thomas J. Sargent,male,1943,USA,Pasadena CA,68,New York University,USA,New York NY,,
2011,peace,3,Tawakkol Karman,female,1979,Yemen,Ta'izz,32,,,,,
2011,peace,3,Leymah Gbowee,female,1972,Liberia,Monrovia,39,,,,,
2011,peace,3,Ellen Johnson Sirleaf,female,1938,Liberia,Monrovia,73,,,,,
2011,literature,1,Tomas Transtromer,male,1931,Sweden,Stockholm,80,,,,,
2011,chemistry,1,Dan Shechtman,male,1941,Israel,Tel Aviv,70,Technion - Israel Institute of Technology,Israel,Haifa,,
2011,physics,4,Adam G. Riess,male,1969,USA,Washington D.C.,42,Johns Hopkins University,USA,Baltimore MD,,
2011,physics,4,Brian P. Schmidt,male,1967,USA,Missoula MT,44,Australian National University,Australia,Weston Creek,,
2011,physics,2,Saul Perlmutter,male,1959,USA,Champaign Urbana IL,52,Lawrence Berkeley National Laboratory,USA,Berkeley CA,,
2011,medicine,2,Ralph M. Steinman,male,1943,Canada,Montreal,68,Rockefeller University,USA,New York NY,,
2011,medicine,4,Jules A. Hoffmann,male,1941,Luxembourg,Echternach,70,University of Strasbourg,France,Strasbourg,,
2011,medicine,4,Bruce A. Beutler,male,1957,USA,Chicago IL,54,University of Texas Southwestern Medical Center at Dallas,USA,Dallas TX,,
